,AFFINITY.1,AFFINITY.2,AFFINITY.3,AFFINITY.4,AFFINITY.5,AFFINITY.6,AFFINITY.7,AFFINITY.8,AFFINITY.9,AFFINITY.10,AFFINITY.11,AFFINITY.12
HPA.0,0,0,1,330,1,0,300,0,379,0,0,0
HPA.1,322,0,8,0,205,0,6,184,7,0,0,2
HPA.2,0,0,0,1,0,0,85,0,437,0,84,0
HPA.3,3,0,0,1,0,0,145,2,351,1,0,1
HPA.4,0,0,0,0,0,0,15,0,181,121,0,0
HPA.5,2,0,3,0,0,0,46,0,67,0,0,127
HPA.6,97,0,3,0,10,0,16,104,44,0,0,0
HPA.7,16,0,101,0,2,23,19,0,35,0,0,10
HPA.8,7,18,17,0,0,8,19,1,87,0,0,1
HPA.9,0,0,1,0,0,0,57,0,109,0,0,13
HPA.10,41,0,9,0,0,0,50,4,42,0,0,19
