,AFFINITY.1,AFFINITY.2,AFFINITY.3,AFFINITY.4,AFFINITY.5,AFFINITY.6,AFFINITY.7,AFFINITY.8,AFFINITY.9,AFFINITY.10,AFFINITY.11,AFFINITY.12
PISCES.1,32,0,15,44,9,0,24,7,42,3,5,17
PISCES.2,228,7,39,79,41,6,156,47,41,0,1,3
PISCES.3,79,3,16,49,85,15,220,78,86,4,2,5
PISCES.4,42,1,8,20,11,1,34,8,465,55,36,34
PISCES.5,16,0,4,6,16,0,39,11,37,4,2,12
PISCES.6,26,0,11,6,28,4,77,28,129,4,4,56
PISCES.7,30,3,25,50,7,0,36,30,250,12,5,3
PISCES.8,20,1,16,37,14,5,97,51,48,2,0,2
PISCES.9,3,0,1,9,0,0,6,6,62,8,10,13
PISCES.10,5,0,4,11,4,0,35,18,16,1,2,3
PISCES.11,3,3,2,13,1,0,28,10,243,7,4,5
PISCES.12,4,0,1,7,2,0,6,1,49,13,6,7
PISCES.13,0,0,1,1,0,0,0,0,271,9,7,13
