,AFFINITY.1,AFFINITY.2,AFFINITY.3,AFFINITY.4,AFFINITY.5,AFFINITY.6,AFFINITY.7,AFFINITY.8,AFFINITY.9,AFFINITY.10,AFFINITY.11,AFFINITY.12,AFFINITY.13,AFFINITY.14,AFFINITY.15,AFFINITY.16,AFFINITY.17,AFFINITY.18,AFFINITY.19,AFFINITY.20,AFFINITY.21,AFFINITY.22,AFFINITY.23,AFFINITY.24,AFFINITY.25,AFFINITY.26,AFFINITY.27,AFFINITY.28,AFFINITY.29
HPA.0,0,0,0,11,0,26,0,14,203,0,12,9,309,149,0,0,273,0,0,1,71,0,0,39,1,9,0,0,0
HPA.1,0,0,0,3,0,24,0,11,199,0,15,7,247,116,0,0,194,1,0,0,84,1,1,43,0,10,0,0,0
HPA.2,1,1,1,4,1,10,1,3,103,0,9,9,128,75,1,0,120,0,0,0,35,0,0,16,0,4,0,0,0
HPA.3,0,0,0,4,0,12,0,5,79,0,9,3,136,63,0,0,132,2,0,0,39,0,0,16,0,3,0,0,0
HPA.4,0,0,0,2,0,14,0,2,73,0,4,2,96,46,0,0,81,0,0,0,35,0,0,11,0,3,1,0,0
HPA.5,0,0,0,4,0,5,0,7,61,0,3,5,93,35,0,0,75,0,0,0,32,0,0,10,0,2,0,0,0
HPA.6,0,0,0,0,0,9,0,3,48,0,8,3,64,31,0,1,57,0,0,0,17,0,0,9,0,4,0,0,0
HPA.7,0,0,0,2,0,6,0,3,34,0,3,2,60,29,0,0,54,1,0,0,17,0,0,8,0,3,0,0,0
HPA.8,0,0,0,2,0,7,1,3,35,1,5,4,52,27,0,0,48,0,1,0,12,0,0,15,0,3,0,1,1
HPA.9,0,0,0,0,0,3,0,1,17,0,3,1,17,16,0,0,18,0,0,0,7,0,0,2,0,0,0,0,0
HPA.10,0,0,0,1,0,2,0,0,9,0,0,1,11,4,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0
HPA.11,0,0,0,0,0,1,0,0,3,0,0,1,9,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
