,AFFINITY.1,AFFINITY.2,AFFINITY.3,AFFINITY.4,AFFINITY.5,AFFINITY.6,AFFINITY.7,AFFINITY.8,AFFINITY.9,AFFINITY.10,AFFINITY.11,AFFINITY.12,AFFINITY.13,AFFINITY.14,AFFINITY.15,AFFINITY.16,AFFINITY.17,AFFINITY.18,AFFINITY.19,AFFINITY.20,AFFINITY.21,AFFINITY.22,AFFINITY.23,AFFINITY.24,AFFINITY.25,AFFINITY.26,AFFINITY.27,AFFINITY.28,AFFINITY.29
PISCES.1,1,0,0,2,0,12,0,8,86,0,7,4,135,74,1,0,121,1,0,1,28,0,0,22,0,4,0,0,0
PISCES.2,0,1,0,8,0,18,0,8,140,1,9,5,183,110,0,1,196,0,1,0,56,0,0,30,0,5,0,0,0
PISCES.3,0,0,1,8,0,23,1,4,119,0,14,7,171,91,0,0,150,1,0,0,42,0,1,27,1,8,0,0,0
PISCES.4,0,0,0,2,0,7,0,3,81,0,9,4,87,38,0,0,91,0,0,0,25,0,0,10,0,4,0,0,0
PISCES.5,0,0,0,4,0,11,0,6,95,0,7,4,115,56,0,0,99,1,0,0,35,0,0,17,0,2,0,0,1
PISCES.6,0,0,0,3,0,2,0,1,46,0,3,4,67,24,0,0,49,1,0,0,20,0,0,3,0,2,0,1,0
PISCES.7,0,0,0,3,0,16,0,8,128,0,6,4,190,78,0,0,155,0,0,0,68,1,0,24,0,5,0,0,0
PISCES.8,0,0,0,2,0,11,0,5,72,0,6,9,107,58,0,0,86,0,0,0,36,0,0,19,0,4,0,0,0
PISCES.9,0,0,0,1,1,17,1,8,65,0,6,3,118,47,0,0,75,0,0,0,26,0,0,14,0,4,0,0,0
PISCES.10,0,0,0,0,0,2,0,1,32,0,4,3,50,19,0,0,37,0,0,0,15,0,0,4,0,3,1,0,0
